Element	AN	AM	G	P	R	EN	mp	bp	hfus	density	IE	SE	CH3
Mg	12	24.31	2	3	1.45	1.23	923	1363	8.5	1.74	7.65	0.54	-2.19
Al	13	26.98	13	3	1.18	1.47	933	2792	10.8	2.7	5.99	0.8	-1.37
Si	14	28.09	14	3	1.11	1.74	1687	3538	50.2	2.33	8.15	1.28	-1.62
Ca	20	40.08	2	4	1.94	1.04	1115	1757	8.5	1.54	6.11	0.46	-1.39
Sc	21	44.96	3	4	1.84	1.2	1814	3109	14.1	2.99	6.56	1.2	-1.77
Ti	22	47.87	4	4	1.76	1.32	1941	3560	14.2	4.51	6.83	1.93	-1.97
V	23	50.94	5	4	1.71	1.45	2183	3680	21.5	6.0	6.75	2.38	-1.67
Cr	24	52.0	6	4	1.66	1.56	2180	2944	21.0	7.15	6.77	3.2	-2.09
Mn	25	54.94	7	4	1.61	1.6	1519	2334	12.9	7.3	7.43	3.39	-2.09
Fe	26	55.85	8	4	1.56	1.64	1811	3134	13.8	7.87	7.9	2.45	-1.75
Co	27	58.93	9	4	1.52	1.7	1768	3200	16.1	8.86	7.88	2.11	-1.85
Ni	28	58.69	10	4	1.49	1.75	1728	3186	17.0	8.9	7.64	1.92	-1.66
Cu	29	63.55	11	4	1.45	1.75	1358	2835	12.9	8.96	7.73	1.31	-1.47
Zn	30	65.38	12	4	1.42	1.66	693	1180	7.1	7.14	9.39	0.35	-1.05
Ga	31	69.72	13	4	1.36	1.82	303	2477	5.6	5.91	6.0	0.48	-1.1
Ge	32	72.64	14	4	1.25	2.02	1211	3106	36.9	5.32	7.9	0.87	-1.07
Se	34	78.96	16	4	1.03	2.48	494	958	6.7	4.81	9.75	0.05	-1.27
Sr	38	87.62	2	5	2.19	0.99	1050	1650	7.4	2.64	5.69	0.34	-1.38
Y	39	88.91	3	5	2.12	1.11	1795	3618	11.4	4.47	6.22	0.96	-1.64
Zr	40	91.22	4	5	2.06	1.22	2128	4682	21.0	6.52	6.63	1.57	-1.84
Nb	41	92.91	5	5	1.98	1.23	2750	5017	30.0	8.57	6.76	2.07	-2.32
Mo	42	95.96	6	5	1.9	1.3	2896	4912	37.5	10.2	7.09	2.8	-2.05
Tc	43	99.0	7	5	1.83	1.36	2430	4538	33.3	11.0	7.28	2.23	-1.98
Ru	44	101.07	8	5	1.78	1.42	2607	4423	38.6	12.1	7.36	2.58	-1.83
Rh	45	102.91	9	5	1.73	1.45	2237	3968	26.6	12.4	7.46	1.99	-1.61
Pd	46	106.42	10	5	1.69	1.35	1828	3236	16.7	12.0	8.34	1.34	-1.41
Ag	47	107.87	11	5	1.65	1.42	1235	2435	11.3	10.5	7.58	0.77	-1.29
Cd	48	112.41	12	5	1.61	1.46	594	1040	6.2	8.69	8.99	0.2	-1.14
In	49	114.82	13	5	1.56	1.49	430	2345	3.3	7.31	5.79	0.3	-0.97
Sn	50	118.71	14	5	1.45	1.72	505	2875	7.2	7.26	7.35	0.54	-1.29
Sb	51	121.76	15	5	1.33	1.82	904	1860	19.8	6.68	8.61	0.16	-0.93
Te	52	127.6	16	5	1.23	2.01	723	1261	17.5	6.24	9.01	0.08	-1.26
La	57	138.91	4	6	1.95	1.08	1191	3737	6.2	6.15	5.58	0.7	-1.36
Ce	58	140.12	5	6	1.85	1.08	1071	3716	5.5	6.77	5.54	1.02	-1.46
Pr	59	140.91	6	6	2.47	1.07	1204	3793	6.9	6.77	5.47	0.78	-1.36
Nd	60	144.24	7	6	2.06	1.07	1294	3347	7.1	7.01	5.53	0.82	-1.46
Hf	72	178.49	4	6	2.08	1.23	2506	4876	27.2	13.3	6.83	1.71	-1.97
Ta	73	180.95	5	6	2.0	1.33	3290	5731	36.6	16.4	7.55	2.34	-2.59
W	74	183.84	6	6	1.93	1.4	3695	5828	52.3	19.3	7.86	3.23	-2.03
Re	75	186.21	7	6	1.88	1.46	3459	5869	60.4	20.8	7.83	2.58	-2.18
Os	76	190.23	8	6	1.85	1.52	3306	5285	57.9	22.59	8.44	2.92	-1.97
Ir	77	192.22	9	6	1.8	1.55	2719	4701	41.1	22.5	8.97	2.28	-1.67
Pt	78	195.08	10	6	1.77	1.44	2042	4098	22.2	21.5	8.96	1.48	-1.69
Au	79	196.97	11	6	1.74	1.42	1337	3129	12.7	19.3	9.23	0.74	-1.12
Tl	81	204.38	13	6	1.56	1.44	577	1746	4.1	11.8	6.11	0.22	-1.19
Pb	82	207.2	14	6	1.54	1.55	601	2022	4.8	11.3	7.42	0.25	-1.28
